98.1862 24.2688 2024 11 14 1.0 3.3 22 30
98.0837 24.2692 2024 11 15 0.6 7.5 00 32
98.0838 24.2662 2024 11 15 3.3 7.7 01 10
98.0825 24.2693 2024 11 15 1.0 7.4 01 13
98.0938 24.2672 2024 11 15 1.0 6.2 01 14
98.0962 24.2705 2024 11 15 0.8 7.3 03 04
98.1018 24.2835 2024 11 15 0.7 4.8 03 14
98.1085 24.2182 2024 11 15 0.4 17.1 04 39
98.0210 24.3062 2024 11 15 0.7 16.6 04 57
98.0767 24.2975 2024 11 15 0.6 0.8 05 10
98.0922 24.2885 2024 11 15 0.7 3.5 05 44
98.0915 24.2702 2024 11 15 1.9 6.8 05 50
98.0692 24.2805 2024 11 15 1.0 4.6 07 17
98.0662 24.2977 2024 11 15 0.6 0.7 09 49
